track_name,artist_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Last Dance,Dua Lipa,1oXHXIB8rHgwHSsPRNjEzn,0.589,0.578,8,-5.626,0,0.0454,0.0232,0.0,0.0984,0.38,135.77,audio_features,1oXHXIB8rHgwHSsPRNjEzn,spotify:track:1oXHXIB8rHgwHSsPRNjEzn,https://api.spotify.com/v1/tracks/1oXHXIB8rHgwHSsPRNjEzn,https://api.spotify.com/v1/audio-analysis/1oXHXIB8rHgwHSsPRNjEzn,228976,4
You'll Be Back,Lin-Manuel Miranda,6OG1S805gIrH5nAQbEOPY3,0.607,0.466,0,-7.562,1,0.0578,0.39,0.0,0.135,0.434,121.741,audio_features,6OG1S805gIrH5nAQbEOPY3,spotify:track:6OG1S805gIrH5nAQbEOPY3,https://api.spotify.com/v1/tracks/6OG1S805gIrH5nAQbEOPY3,https://api.spotify.com/v1/audio-analysis/6OG1S805gIrH5nAQbEOPY3,208321,4
Satisfied,Lin-Manuel Miranda,3dP0pLbg9OfVwssDjp9aT0,0.707,0.593,5,-8.581,0,0.0949,0.287,0.0,0.15,0.478,123.772,audio_features,3dP0pLbg9OfVwssDjp9aT0,spotify:track:3dP0pLbg9OfVwssDjp9aT0,https://api.spotify.com/v1/tracks/3dP0pLbg9OfVwssDjp9aT0,https://api.spotify.com/v1/audio-analysis/3dP0pLbg9OfVwssDjp9aT0,329228,4
"Popular - From ""Wicked"" Original Broadway Cast Recording/2003",Various Artists,5RouTISMerQbkkhopfeIDx,0.729,0.225,0,-12.696,1,0.184,0.774,0.0,0.147,0.517,88.373,audio_features,5RouTISMerQbkkhopfeIDx,spotify:track:5RouTISMerQbkkhopfeIDx,https://api.spotify.com/v1/tracks/5RouTISMerQbkkhopfeIDx,https://api.spotify.com/v1/audio-analysis/5RouTISMerQbkkhopfeIDx,224387,4
Why'd You Only Call Me When You're High?,Arctic Monkeys,086myS9r57YsLbJpU0TgK9,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,audio_features,086myS9r57YsLbJpU0TgK9,spotify:track:086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/tracks/086myS9r57YsLbJpU0TgK9,https://api.spotify.com/v1/audio-analysis/086myS9r57YsLbJpU0TgK9,161124,4
Ooh La,The Kooks,6xqCTPxYnRf8X0p6N5Vw2T,0.543,0.873,10,-5.159,0,0.0803,0.0165,9.45e-05,0.15,0.786,150.891,audio_features,6xqCTPxYnRf8X0p6N5Vw2T,spotify:track:6xqCTPxYnRf8X0p6N5Vw2T,https://api.spotify.com/v1/tracks/6xqCTPxYnRf8X0p6N5Vw2T,https://api.spotify.com/v1/audio-analysis/6xqCTPxYnRf8X0p6N5Vw2T,208973,4
One Foot,Airways,01KsbekyuQQXpVnxIfNRaC,0.521,0.837,5,-4.581,1,0.122,0.000192,0.051,0.0929,0.623,80.027,audio_features,01KsbekyuQQXpVnxIfNRaC,spotify:track:01KsbekyuQQXpVnxIfNRaC,https://api.spotify.com/v1/tracks/01KsbekyuQQXpVnxIfNRaC,https://api.spotify.com/v1/audio-analysis/01KsbekyuQQXpVnxIfNRaC,188834,4
Don’t Look Back Into The Sun,The Libertines,1xKrHVZW1NOH7WknHNvW8j,0.21,0.84,0,-4.053,0,0.109,0.00527,0.00117,0.265,0.618,178.905,audio_features,1xKrHVZW1NOH7WknHNvW8j,spotify:track:1xKrHVZW1NOH7WknHNvW8j,https://api.spotify.com/v1/tracks/1xKrHVZW1NOH7WknHNvW8j,https://api.spotify.com/v1/audio-analysis/1xKrHVZW1NOH7WknHNvW8j,178267,4
Bide Your Time,Courteeners,51shWeSgwLK8Fws7pXFKsq,0.343,0.856,2,-4.074,1,0.0404,0.0164,0.0,0.145,0.439,92.815,audio_features,51shWeSgwLK8Fws7pXFKsq,spotify:track:51shWeSgwLK8Fws7pXFKsq,https://api.spotify.com/v1/tracks/51shWeSgwLK8Fws7pXFKsq,https://api.spotify.com/v1/audio-analysis/51shWeSgwLK8Fws7pXFKsq,198053,4
Fallout,Catfish and the Bottlemen,2PAeLLcnw42x5ZszOfFz50,0.358,0.851,8,-3.76,1,0.0549,9.66e-05,0.0,0.363,0.341,146.028,audio_features,2PAeLLcnw42x5ZszOfFz50,spotify:track:2PAeLLcnw42x5ZszOfFz50,https://api.spotify.com/v1/tracks/2PAeLLcnw42x5ZszOfFz50,https://api.spotify.com/v1/audio-analysis/2PAeLLcnw42x5ZszOfFz50,210405,4
A-Punk,Vampire Weekend,1595LW73XBxkRk2ciQOHfr,0.548,0.816,2,-4.478,1,0.0499,0.0104,0.0543,0.152,0.857,174.993,audio_features,1595LW73XBxkRk2ciQOHfr,spotify:track:1595LW73XBxkRk2ciQOHfr,https://api.spotify.com/v1/tracks/1595LW73XBxkRk2ciQOHfr,https://api.spotify.com/v1/audio-analysis/1595LW73XBxkRk2ciQOHfr,137760,4
Cigarettes In The Theatre,Two Door Cinema Club,76qHqnhdALHDcz3LcJeo7l,0.452,0.884,0,-5.137,1,0.211,8.78e-05,0.16,0.163,0.594,168.97,audio_features,76qHqnhdALHDcz3LcJeo7l,spotify:track:76qHqnhdALHDcz3LcJeo7l,https://api.spotify.com/v1/tracks/76qHqnhdALHDcz3LcJeo7l,https://api.spotify.com/v1/audio-analysis/76qHqnhdALHDcz3LcJeo7l,213533,4
Moaning Lisa Smile,Wolf Alice,70BaeQ5FIX0CS6VMwMlU9s,0.471,0.806,2,-2.92,1,0.0504,0.000575,0.0562,0.0917,0.338,98.069,audio_features,70BaeQ5FIX0CS6VMwMlU9s,spotify:track:70BaeQ5FIX0CS6VMwMlU9s,https://api.spotify.com/v1/tracks/70BaeQ5FIX0CS6VMwMlU9s,https://api.spotify.com/v1/audio-analysis/70BaeQ5FIX0CS6VMwMlU9s,160747,4
