danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,clusters,track_name,artist_name,song_id,type,id,uri,track_href,analysis_url
0.589,0.966,11,-4.106,1,0.0972,0.03,0.0,0.147,0.802,129.983,204200,4,7,Timber (feat. Ke$ha),Pitbull,3tgZ9vmhuAY9wEoNUJskzV,audio_features,3tgZ9vmhuAY9wEoNUJskzV,spotify:track:3tgZ9vmhuAY9wEoNUJskzV,https://api.spotify.com/v1/tracks/3tgZ9vmhuAY9wEoNUJskzV,https://api.spotify.com/v1/audio-analysis/3tgZ9vmhuAY9wEoNUJskzV
0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627,4,4,Starships,Nicki Minaj,2EBCVPNAG46nbgs6jXPGvv,audio_features,2EBCVPNAG46nbgs6jXPGvv,spotify:track:2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/tracks/2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/audio-analysis/2EBCVPNAG46nbgs6jXPGvv
0.647,0.933,7,-4.056,1,0.111,0.000351,0.00277,0.334,0.332,119.921,235107,4,3,Wild Strawberries,PNAU,6pGUGTIaZ1H4jKHIL4Fged,audio_features,6pGUGTIaZ1H4jKHIL4Fged,spotify:track:6pGUGTIaZ1H4jKHIL4Fged,https://api.spotify.com/v1/tracks/6pGUGTIaZ1H4jKHIL4Fged,https://api.spotify.com/v1/audio-analysis/6pGUGTIaZ1H4jKHIL4Fged
0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,232147,4,4,Papaoutai,Stromae,09TcIuH1ZO7i4vicWKoaN2,audio_features,09TcIuH1ZO7i4vicWKoaN2,spotify:track:09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/tracks/09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/audio-analysis/09TcIuH1ZO7i4vicWKoaN2
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933,4,4,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1TfqLAPs4K3s2rJMoCokcS,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933,4,4,Sweet Dreams (Are Made of This) - Remastered,Annie Lennox,1TfqLAPs4K3s2rJMoCokcS,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933,4,4,Sweet Dreams (Are Made of This) - Remastered,Dave Stewart,1TfqLAPs4K3s2rJMoCokcS,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS
0.327,0.895,9,-7.428,1,0.0367,0.000564,0.0159,0.104,0.898,169.39,219800,4,3,Rock and Roll - 1990 Remaster,Led Zeppelin,3w2GGz0HjIu9OcWXINRFJR,audio_features,3w2GGz0HjIu9OcWXINRFJR,spotify:track:3w2GGz0HjIu9OcWXINRFJR,https://api.spotify.com/v1/tracks/3w2GGz0HjIu9OcWXINRFJR,https://api.spotify.com/v1/audio-analysis/3w2GGz0HjIu9OcWXINRFJR
0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,177685,4,5,Talk Dirty (feat. 2 Chainz),Jason Derulo,4X4tgBEUiT6WqB2oTJ5ynH,audio_features,4X4tgBEUiT6WqB2oTJ5ynH,spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/tracks/4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/audio-analysis/4X4tgBEUiT6WqB2oTJ5ynH
0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,222200,4,4,La La La,Naughty Boy,36pLU2ywVeBKEF0rrKtmCB,audio_features,36pLU2ywVeBKEF0rrKtmCB,spotify:track:36pLU2ywVeBKEF0rrKtmCB,https://api.spotify.com/v1/tracks/36pLU2ywVeBKEF0rrKtmCB,https://api.spotify.com/v1/audio-analysis/36pLU2ywVeBKEF0rrKtmCB
